Job Title,Company,Date,Type,Location,Skills,Job Link
Entry Level Data Analyst (Remote),PulseMediaNL (EMEA REGIO,posted 24 days ago,Full Time,"Dubai, United Arab Emirates","Accounting/Finance, IT/Software Development, Analyst/Research, microsoft office, information technology (it), computer science, accounting, analysis, microsoft excel, data analysis, sql, management, business, python, excel",http://wuzzuf.net/jobs/p/g/wt6bes4cf1iw-entry-level-data-analyst-remote-pulsemedianl-emea-region-dubai-united-arab-emirates
Econometric Data Analyst (Remote),North Star Staffing,posted 27 days ago,Freelance / Project,"Riyadh, Saudi Arabia","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), Microsoft Office, SQL, Microsoft Excel, Data Analyst, Research, Engineering, Computer Skills, Data, Economics, Python, Commerce, Tableau, English, Statistics, Business Analysis, Finance",http://wuzzuf.net/saudi/jobs/p/g/zqqorpb2ufvz-econometric-data-analyst-remote-north-star-staffing-riyadh-saudi-arabia
Associate Data Analyst - Builders Program,Tamara,posted 27 days ago,Part Time,"Riyadh, Saudi Arabia","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Analysis, Computer Science, Information Technology (IT), Microsoft Office, SQL, Microsoft Excel, Research, Data Analyst, Engineering, Computer Skills, Data, Economics, Python, Commerce, English, Finance, Tableau, Accounting, Business Analysis",http://wuzzuf.net/saudi/jobs/p/g/ajvduchif2al-associate-data-analyst-builders-program-tamara-riyadh-saudi-arabia
Financial Planning Analyst,Beyti - an Almarai Subsi,posted 2 months ago,Full Time,"Alexandria, Egypt","Accounting/Finance, Logistics/Supply Chain, Finance, Manufacturing, Supply Chain, Supply Chain finance, Financial Planning, Financial Services, Financial Accounting",http://wuzzuf.net/jobs/p/h5p4afrajssa-financial-planning-analyst-beyti-an-almarai-subsidiary-alexandria-egypt
Data Analyst | Al-Futtaim Automotive | Logistics,Al-Futtaim,posted 27 days ago,Full Time,"Dubai, United Arab Emirates","Administration, Marketing/PR/Advertising, Sales/Retail, e-marketing, marketing, digital marketing, management, automotive, retail, construction",http://wuzzuf.net/jobs/p/g/sznpmfjq2zvt-data-analyst-al-futtaim-automotive-logistics-al-futtaim-dubai-united-arab-emirates
Senior Marketing Data Analyst - REMOTE,Jobgether,posted 1 month ago,Full Time,"Dubai, United Arab Emirates","IT/Software Development, Analyst/Research, Engineering - Telecom/Technology, Data Analysis, Information Technology (IT), Computer Science, Analysis, Marketing, Microsoft Office, Market Research, Microsoft Excel, Accounting, Business Administration, Data, Engineering, Finance, Financial Analysis, Python, Business, Business Analysis, Commerce, Data Analyst, Digital Marketing",http://wuzzuf.net/jobs/p/g/zn2xygiggehl-senior-marketing-data-analyst-remote-jobgether-dubai-united-arab-emirates
Financial Analyst,Elsewedy industries,posted 2 months ago,Full Time,"10th of Ramadan City, Cairo","Accounting/Finance, Accounting, financial analyst, Financial Analysis, Analyst, Finance, Forecasting, Financial, Corporate Finance, Reporting, Analysis",http://wuzzuf.net/jobs/p/7rzmfcwyhhkw-financial-analyst-elsewedy-industries-cairo-egypt
Credit Analyst - Microfinance,Erada,posted 2 months ago,Full Time,"Maadi, Cairo","Accounting/Finance, Analyst/Research, Credit Analysis, Credit Risk, Credit Administration, Credit Control, Credit Management, credit, analyst",http://wuzzuf.net/jobs/p/rolwdqeixchj-credit-analyst-microfinance-erada-cairo-egypt
Sales Analyst,YO IT Consulting,posted 20 days ago,Full Time,"Riyadh, Saudi Arabia","IT/Software Development, Analyst/Research, Sales/Retail, Sales, Sales Skills, Analysis, Sales Analysis, Data Analysis, Indoor Sales, Outdoor Sales, Business Analysis, Microsoft Office, Microsoft Excel, Information Technology (IT), Finance, Accounting, Business Development, Administration, Analyst, Engineering, Sales Analyst, Business Administration, Commerce",http://wuzzuf.net/saudi/jobs/p/g/rcim4lysgvah-sales-analyst-yo-it-consulting-riyadh-saudi-arabia
Data Engineer,Hyundai Rotem,posted 5 days ago,Full Time,"Cairo, Egypt","Analyst/Research, Engineering - Telecom/Technology, Engineering, Computer Science, English, Communication skills, ICDL, Computer Engineering, Data Engineering, Data Modeling, Data Warehousing, Information Technology (IT), Troubleshooting",http://wuzzuf.net/jobs/p/beqgj9o9kpfk-data-engineer-hyundai-rotem-cairo-egypt
